company_id,name,country,city,zip_code
3888,Emory Healthcare,US,Atlanta,30322
3889,Emory University,US,Atlanta,30322
3894,ASML,NL,Veldhoven,5504DR
3895,Pacific Gas and Electric Company,US,Oakland,94612
3900,Framatome,FR,Courbevoie,92400
3915,The Goodyear Tire & Rubber Company,US,Akron,44316
3921,U.S. House of Representatives,US,Washington,20515
3925,Akamai Technologies,US,Cambridge,2142
3952,Hillsborough County Public Schools,US,0,0
3954,Clifford Chance,GB,London,E14 5JJ
3957,Baker McKenzie,US,Chicago,60601
3960,Ciena,US,Hanover,21076
3961,Biogen,US,Cambridge,2142
3975,Heidrick & Struggles,US,Chicago,60606
3980,Houghton Mifflin Harcourt,US,Boston,2110
3994,WTW,GB,London,EC3M 7DQ
3997,Aflac,US,Columbus,31999
3998,Syngenta,CH,Basel,4002
4013,American Cancer Society,US,Atlanta,30303
4019,Capital Group,US,Los Angeles,90071
4025,Jacobs,US,Dallas,75201
4030,Bose Corporation,US,Framingham,1701
4031,FMC Corporation,US,Philadelphia ,19104
4037,TIAA,US,New York,10017
4044,Invesco US,US,Atlanta,30309
4057,IQVIA,US,Durham,27703
4059,The Estée Lauder Companies Inc.,US,New York,10153
4060,Cushman & Wakefield,US,Chicago,60606
4062,Faurecia,FR,Nanterre,92000
4066,Duke Energy Corporation,US,Charlotte,28202
4074,Yale School of Medicine,US,New Haven,6510
4075,Sun Life,OO,0,0
4080,DreamWorks Animation,US,Glendale,91201
4085,Tata Communications,IN,Mumbai,400070
4097,"American Honda Motor Company, Inc.",US,Torrance,90501
4099,University of Wisconsin-Madison,US,Madison,53706-1380
4100,Starcom,US,Chicago,60601
4101,Michelin,FR,Clermont-Ferrand,0
4114,Solvay,BE,Brussels,1120
4122,Pottery Barn,US,San Francisco,94111
4123,"Williams-Sonoma, Inc.",US,San Francisco,94109
4124,Forrester,US,Cambridge,2140
4126,SGS,CH,Geneva,1211 Geneva 1
4128,"Lowe's Companies, Inc.",US,Mooresville,28117
4134,Pirelli,IT,Milano,20126
4156,Air Products,US,Allentown,18106
4162,CareerBuilder,US,Chicago,0
4167,PNC,US,Pittsburgh,0
4187,Norsk Hydro,NO,Oslo,283
